idColar,acelerometroEixoX,acelerometroEixoY,acelerometroEixoZ,magnetometroEixoX,magnetometroEixoY,magnetometroEixoZ,giroscopioEixoX,giroscopioEixoY,giroscopioEixoZ,horario,data,velocidadeDeslocamento,comportamento
A2,-19406,9394,-13766,436,1514,-793,107,57,-1678,150518.211,250515,000.0,Pastando
A2,-3419,4287,-14422,500,1481,-873,925,4832,787,150521.211,250515,000.0,Pastando
A2,-14275,5541,-13985,681,1317,-1000,-1182,-205,-2171,150727.211,250515,000.0,Pastando
A2,-11804,4035,-10275,251,1601,-517,2470,-2064,-1755,150730.211,250515,000.0,Pastando
A2,-11582,4099,-12840,71,1586,-502,6495,-4290,2018,150732.211,250515,000.0,Pastando
A2,-30838,1189,-9313,862,1024,-1187,6944,-11443,57,150849.211,250515,000.0,Pastando
A2,-14335,9714,-10889,844,1029,-1254,-120,529,1538,150852.211,250515,000.0,Pastando
A2,-12638,4338,-11952,740,984,-1326,5504,-5347,856,150958.211,250515,000.0,Pastando
A2,-6004,12550,-9587,325,-164,-1688,2304,-2811,3612,151020.211,250515,000.0,Pastando
A2,-10503,4308,-13970,869,917,-1302,6801,-5693,354,151128.211,250515,000.0,Pastando
A2,-10409,7480,-10709,616,223,-1687,1108,-2623,-1761,151243.212,250515,000.0,Pastando
A2,-3945,5476,-12556,929,453,-1462,-9708,-328,-5366,151245.212,250515,000.0,Pastando
A2,-8003,5802,-16136,905,623,-1503,1438,-5192,3207,151416.212,250515,000.0,Pastando
A2,-6923,6571,-9367,-595,1350,-183,-2587,2920,-1274,151524.212,250515,000.0,Pastando
A2,-6032,3809,-8486,-1049,719,85,-6109,9434,469,151527.212,250515,000.0,Pastando
A2,-1336,2109,-8772,-1218,583,-190,3391,-1441,549,151711.212,250515,000.0,Pastando
A2,-7942,6689,-10202,-1088,-349,-687,-2838,414,-1471,151833.212,250515,000.0,Pastando
A2,-2519,7969,-9580,-1004,-436,-840,-3006,1660,2603,151835.212,250515,000.0,Pastando
A2,-4215,8036,-14865,-425,1490,-291,1379,6740,-3329,151941.212,250515,000.0,Pastando
A2,-2003,20509,-9502,-412,1495,-633,8282,-6171,-4996,151943.212,250515,000.0,Pastando
A2,-2785,7333,-13763,-792,1256,-216,1793,-855,1976,152017.212,250515,000.0,Pastando
A2,-6315,3877,-7934,-1093,731,93,-1809,755,-3927,152154.212,250515,000.0,Pastando
A2,-9563,10719,-10836,-1233,572,-263,4250,1190,4486,152156.212,250515,000.0,Pastando
A2,-15353,7912,-9562,-1122,-391,-459,-2753,8356,-85,152252.212,250515,000.0,Pastando
A2,-18275,9057,-13750,-1254,-76,-473,-930,-8813,-4042,152254.212,250515,000.0,Pastando
